14:28:55:86,Vibration_X_RMS,Vibration_Y_RMS,Vibration_Z_RMS
14:28:55:86,2.90234375,4.76171875,1.2734375
14:28:57:71,2.296875,1.82421875,1.07421875
14:29:16:60,1.9765625,2.6484375,2.47265625
14:29:15:39,1.68359375,0.66015625,0.7578125
14:29:15:99,1.30859375,2.9296875,1.3046875
14:29:02:57,1.11328125,2.84765625,0.34765625
14:28:58:92,1,1.81640625,0.2421875
14:28:56:48,0.8203125,1.828125,0.2421875
14:29:01:97,0.703125,1.15625,0.3046875
14:29:00:75,0.65625,1.1953125,0.3203125
14:28:57:09,0.6484375,0.9765625,0.1875
14:29:00:14,0.6484375,0.6796875,0.3125
14:29:01:36,0.6328125,1.3203125,0.33203125
